Professor,Category
Lotfi Gaafar,Department of Mechanical Engineering
Karim Seddik,Department of Electronics and Communications Engineering
Abdelaziz Khlaifat,Department of Petroleum and Energy Engineering
Ahmed Sherif,Department of Architecture
Amal Hamdy,Department of Architecture
Amr Abdel Kawi,Department of Architecture
Basil Kamel,Department of Architecture
Khaled Tarabieh,Department of Architecture
Magda Mostafa,Department of Architecture
Mariam Raafat Abdelazim,Department of Architecture
Momen El-Husseiny,Department of Architecture
Nabil Ibrahim Mohareb,Department of Architecture
Sherif Abdelmohsen,Department of Architecture
Sherif Goubran,Department of Architecture
Tamir El-Khouly,Department of Architecture
Ahmed Moustafa,Department of Biology
Ahmed Abdellatif,Department of Biology
Andreas Kakarougkas,Department of Biology
Arthur Bos,Department of Biology
Asma Amleh,Department of Biology
Rania Siam,Department of Biology
Suher Zada,Department of Biology
Walid Fouad,Department of Biology
Adham Ramadan,Department of Chemistry
Ehab El Sawy,Department of Chemistry
Hassan Azzazy,Department of Chemistry
Hatem Tallima,Department of Chemistry
Jehane Ragai,Department of Chemistry
Pakinam Askalani,Department of Chemistry
Mayyada El-Sayed,Department of Chemistry
Tamer Shoeib,Department of Chemistry
Tarek Madkour,Department of Chemistry
Wael Mamdouh,Department of Chemistry
Ahmed Rafea,Department of Computer Science and Engineering
Alia El Bolock,Department of Computer Science and Engineering
Amr El Mougy,Department of Computer Science and Engineering
Amr Goneid,Department of Computer Science and Engineering
Amr El-Kadi,Department of Computer Science and Engineering
Cherif Salama,Department of Computer Science and Engineering
Hossam Sharara,Department of Computer Science and Engineering
Nouri Sakr,Department of Computer Science and Engineering
Mikhail Mikhail,Department of Computer Science and Engineering
Mohamed Sedky,Department of Computer Science and Engineering
Mohamed Shalan,Department of Computer Science and Engineering
Moustafa Amin Youssef,Department of Computer Science and Engineering
Seif Eldawlatly,Department of Computer Science and Engineering
Sherif Aly,Department of Computer Science and Engineering
Tamer El Batt,Department of Computer Science and Engineering
Ahmed Ezeldin,Department of Construction Engineering
Ahmed El-Gendy,Department of Construction Engineering
Amr Hassanein,Department of Construction Engineering
Ezzat Fahmy,Department of Construction Engineering
Ezzeldin Yazeed Sayed-Ahmed,Department of Construction Engineering
